Game number, Team_1
1, 0.0
2, 23.71576259733537
3, 29.77181053517586
4, 24.767385833028726
5, 0.0
6, 0
7, 0
8, 18.871993870818017
9, 60.39882962639287
10, 27.940381355094956
11, 0.0
12, 10.906406995317042
13, 0
14, 0
15, 0
16, 34.55767764667143
17, 0
18, 20.51477867988875
19, 1.4762462735396298
20, 5.747142826697285
21, 63.250596732856145
22, 22.5275877719332
23, 21.77893649128606
24, 0
25, 21.02721948536947
26, 0
27, 0.0
28, 24.297852311582673
29, 22.937754670672987
30, 20.248782818550694
31, 23.713932314507645
32, 0
33, 22.733940683172307
34, 35.6223485752772
35, 17.918763355072286
36, 17.746400861363327
37, 0
38, 35.03028222828672
39, 0.0
40, 0
41, 28.55639142511049
42, 7.376226184921009
43, 0
44, 0.0
45, 15.902422737907827
46, 0.0
47, 0.0
48, 0
49, 0.0
50, 0.0
51, 15.627092737802187
52, 22.101655424586838
53, 32.81067671061665
54, 15.198227910494921
55, 19.12112180313771
56, 8.012002506836595
57, -5.211247180788092
58, 16.013076749468866
59, 27.955664288679216
60, 23.522605385856437
61, 38.44262762909149
62, 0
63, 20.906603426197165
64, 15.58911780509024
65, 52.49529833156371
66, 22.375089579357024
67, 0
68, 23.45082436793288
69, 20.586147499714897
70, 0
71, 25.427186068007558
72, 16.71408532069519
73, 0
74, 0
75, 0.0
76, 0
77, 24.241899310871034
78, 37.10383061724873
79, 14.432011588772966
80, 15.396699266026829
81, 0.0
82, 0.0
83, 0
84, 0.0
85, 10.338686010669875
86, 21.24282153972915
87, 0.0
88, 28.67049955893178
89, 0
90, 0.0
91, 0
92, 29.285371855734475
93, 24.871139923546963
94, 0
95, 82.00294249973489
96, 0.0
97, 0.0
98, 0.0
99, 33.95359994093909
100, 73.32982215207463
101, 0
102, 4.628146623757061
103, 0
104, 0.0
105, 17.057562692237653
106, 24.54877708128363
107, 21.995473068677057
108, 16.4937563284212
109, 5.932367262347441
110, 11.468523582385401
111, 27.929307603731544
112, 0.0
113, 0
114, 32.06637205681833
115, 32.6936757419358
116, 7.783789281150476
117, 0
118, 19.256509447436585
119, 0
120, 0
121, 22.09462976017504
122, 0
123, 19.684299133528896
124, 10.046282499447145
125, -0.4222620854547614
126, 33.43043590048537
127, 0.0
128, 0
129, 2.379292038544591
130, 31.622510421101666
131, 51.151489491277
132, 0.0
133, 32.86821903456416
134, 0
135, 0.0
136, 31.87015316709224
137, 48.0409398695996
138, 25.836252209135765
139, 36.49747697987077
140, 33.88422480683071
141, 0
142, 42.69018996471278
143, 15.6763130954064
144, 26.92294527691284
145, 29.133501778973184
146, 0.0
147, 0.0
148, 22.922887074972436
149, 22.455518499168463
150, 0
151, 48.78340402999822
152, 0
153, 0.0
154, 27.715219297689103
155, 0.0
156, 35.23463490496039
157, 0
158, 70.3982292858986
159, 42.880548442020746
160, 51.80396549402464
161, 2.486570298186521
162, 27.214471418346676
163, 0
164, 0
165, 19.96976899733798
166, 22.13004929359292
167, 17.447789173124505
168, 21.618663335615196
169, 22.006234625459783
170, 0
171, 38.48004130348989
172, 23.68256715426837
173, 0.0
174, 27.97664228244436
175, 40.26421679188297
176, 22.981712541824294
177, 36.670421039086335
178, 25.298929403784527
179, 54.8468209466548
180, 20.7653114651949
181, 0.0
182, 20.12671774132025
183, 13.16909582809113
184, 21.169947386154504
185, 18.379636535391555
186, 55.786081795200886
187, 20.650446483786567
188, 0
189, 23.814813002124126
190, 31.094541110445597
191, 20.82381432130967
192, 21.586764969619594
193, 28.311364708141213
194, 0
195, 0
196, 47.08264500167952
197, 0
198, 18.891347247296167
199, 23.48360371562103
200, 24.986517869506145
